4.211104059846106362e-01,1.292884539308522974e-03
5.213724955671972250e-01,1.866276073537097464e-03
6.147705709861239765e-01,2.080816245480259907e-03
6.994785112872238253e-01,2.267244379625693584e-03
7.678459926183724971e-01,2.482365751498710315e-03
8.428876856539906370e-01,2.664810741366282262e-03
9.034265076002708783e-01,2.821218501736753176e-03
9.490869112704610755e-01,3.441201318010787043e-03
9.904665640168736074e-01,2.981307779173450901e-03
1.028548196796214231e+00,2.774519813930178061e-03
1.057115877592678777e+00,3.275495184378658838e-03
1.086764698406953666e+00,2.838754143120717291e-03
1.103873390547602806e+00,3.192493913836220911e-03
1.113664171490671428e+00,3.258316289577183229e-03
1.123851795056987735e+00,3.490914272226869862e-03
1.130454302522049259e+00,3.165704397181714688e-03
1.133529873567433732e+00,3.411521322872239186e-03
1.129083830347566764e+00,3.243715559490119478e-03
1.118614999195575166e+00,3.164181414826699318e-03
1.108911849884477441e+00,2.985305069800630283e-03
1.096213352185433809e+00,2.665582882435295949e-03
1.072678454753348332e+00,2.724017168015018149e-03
1.051561066239416142e+00,3.228651015043083449e-03
1.029280948663308992e+00,3.395416478438576142e-03
9.987924799180036839e-01,3.241077565043450157e-03
9.539982564287105005e-01,3.258804543894229262e-03
9.354811018044015825e-01,2.720987279762284751e-03
9.047393540955396274e-01,3.171896888196525013e-03
8.881360048235973359e-01,2.691325433302551445e-03
8.643469389095873590e-01,3.734504221666065747e-03
